553700028,127.302841,36.224270
553700041,127.318199,36.239105
553700134,127.309013,36.230965
553700178,127.336166,36.250584
553700181,127.325348,36.243649
553700184,127.321854,36.241070
553701278,127.319687,36.239803
553701841,127.305206,36.230366
553800016,127.340469,36.254436
553800040,127.345879,36.261845
553800055,127.281441,36.267033
553800079,127.340538,36.296501
553800117,127.310944,36.285099
553800133,127.370041,36.302521
553800141,127.368927,36.313122
553800205,127.365005,36.298874
553800209,127.316132,36.298599
553800230,127.315880,36.299297
553800263,127.367043,36.300667
553800287,127.319916,36.313225
553800315,127.354385,36.302181
553800317,127.366165,36.302544
553800340,127.365768,36.303993
553800346,127.365654,36.304428
553800354,127.316940,36.303280
553800356,127.318153,36.303623
553800391,127.320038,36.288895
553800440,127.320549,36.304302
553800455,127.318382,36.309498
553800467,127.340607,36.300220
553800468,127.338409,36.298939
553800471,127.340561,36.297821
553800472,127.343376,36.299152
553800532,127.371284,36.316845
553800549,127.371033,36.319305
553800552,127.313858,36.319859
553800559,127.370377,36.321022
553800574,127.370232,36.322502
553800589,127.370369,36.325096
553800594,127.370407,36.326237
553800610,127.372581,36.327454
553800631,127.370598,36.329292
553800701,127.312813,36.335033
553800740,127.338814,36.253510
553800748,127.317871,36.299591
553800758,127.322586,36.299843
553800806,127.318916,36.293755
553800813,127.326591,36.297150
553800816,127.334869,36.298897
553800817,127.329353,36.298908
553800819,127.340584,36.299038
553800820,127.344757,36.299194
553800835,127.340668,36.306282
553800933,127.369102,36.301922
553800935,127.317192,36.311775
553800943,127.319931,36.316547
553801061,127.342590,36.255253
553801088,127.331261,36.298927
553801091,127.337051,36.303051
553801118,127.319939,36.314522
553801158,127.317581,36.305019
553801297,127.327621,36.298279
553801371,127.330460,36.294273
553801397,127.344765,36.301846
553801423,127.337074,36.306389
553801500,127.337067,36.309658
553801663,127.371307,36.304928
553801819,127.312859,36.322754
553802556,127.361893,36.293804
553802606,127.356651,36.296257
553802613,127.317139,36.295422
553802642,127.371277,36.332062
553802655,127.320076,36.299843
553802666,127.371338,36.318115
553802671,127.341690,36.299072
553802674,127.334869,36.300621
